,time delay,stg_pos,V_in,V_out,ratio,DVD,poly fit,poly res,Residual FFT,Associated F,Sine Res Fit
29,9.0,55.22552777777778,145.2616111111111,3.451494444444444,-42.15295555555556,4.195945e-05,146.4321869149306,-1.1705758038195029,782.9214635790279,-0.4821428571428571,7.967508701677364
30,9.5,55.243,145.13600000000002,3.29315,-44.091,4.25532e-05,148.18055372954205,-3.044553729542031,518.7675320285499,-0.46428571428571425,2.768338701890233
31,10.0,55.3731,140.8788,3.43465,-41.08161,4.2078395e-05,149.6157140485894,-8.736914048589398,255.5338125135671,-0.4464285714285714,-2.5891736785952877
32,11.0,55.525,136.5529,3.431125,-39.841295,4.208203e-05,151.5533454298792,-15.000445429879193,1733.6514087841347,-0.42857142857142855,-13.183981269829443
33,12.0,55.6664,134.428,3.421055,-39.340045,4.2092195e-05,152.27111643865885,-17.843116438658853,890.5723781894077,-0.4107142857142857,-22.648475830375425
34,13.0,55.82984210526316,132.5443684210526,3.4293736842105265,-38.70601578947369,4.203692631578947e-05,151.81479675617382,-19.27042833512121,2227.0614874421076,-0.39285714285714285,-29.938874612203207
35,13.5,55.8405,131.485,3.4039,-38.6274,4.12919e-05,151.1661414769155,-19.681141476915485,3886.4388259092666,-0.375,-32.50551422963199
36,14.0,55.973575,129.58855,3.4084650000000005,-38.07691,4.1732055e-05,150.250253835416,-20.661703835416006,1807.0576758402913,-0.3571428571428571,-34.25116294489898
37,15.0,56.1253,126.9318,3.4049350000000005,-37.323905,4.2005465e-05,147.66381637148424,-20.73201637148425,3867.4572670913094,-0.33928571428571425,-35.109764226098534
38,16.0,56.277075,125.1406,3.39487,-36.903315,4.1799245e-05,144.16263777194425,-19.02203777194424,5032.277454522706,-0.3214285714285714,-32.419988433105004
39,17.0,56.4254,123.66075,3.4054450000000003,-36.344495,4.191845e-05,139.8750596271891,-16.21430962718911,3671.101363402604,-0.30357142857142855,-26.47847492165313
40,18.0,56.575525000000006,121.99395,3.4069450000000003,-35.839415,4.1929865e-05,134.9509751807993,-12.957025180799306,9350.063157891971,-0.2857142857142857,-17.940477837726895
41,19.0,56.72315,120.58345,3.412485,-35.36551,4.191603e-05,129.5621927999029,-8.978742799902903,13077.089805547612,-0.26785714285714285,-7.7476020395596015
42,20.0,56.8738,119.4592,3.3918350000000004,-35.252445,4.1964415e-05,123.90279944553586,-4.443599445535867,10959.53757208147,-0.25,2.9760408953229707
43,21.0,57.023025,118.24005,3.38026,-35.024860000000004,4.1825525e-05,118.18952414300216,0.05052585699783663,21359.039037673578,-0.23214285714285712,13.047804242379982
44,22.0,57.1683,116.93635,3.381265,-34.63101,4.200639e-05,112.66210145223403,4.274248547765978,27431.134861578295,-0.21428571428571427,21.356933195145302
45,23.0,57.32767647058824,115.77311764705884,3.399776470588235,-34.09568235294118,4.208517647058824e-05,107.58363493815214,8.189482708906695,22738.26415827754,-0.19642857142857142,26.98706339875867
46,23.5,57.3425,115.536,3.356933333333333,-34.46863333333334,4.2269e-05,105.3014595214917,10.234540478508308,37472.18041976792,-0.17857142857142855,28.58979333283117
47,24.0,57.475350000000006,114.54665,3.38479,-33.885465,4.1995355e-05,103.24096064102582,11.305689358974178,39972.387427608985,-0.1607142857142857,29.31728131810204
48,25.0,57.626675,113.48965,3.406445,-33.360565,4.203174e-05,99.9450105468332,13.544639453166795,26593.425131368593,-0.14285714285714285,28.09060109431082
49,26.0,57.7751,112.78119999999998,3.39888,-33.23434,4.1934765e-05,98.03117605762176,14.75002394237822,86560.33925949632,-0.125,23.442305984906284
50,27.0,57.92552500000001,112.1569,3.3858,-33.17204,4.207008e-05,97.85967146186786,14.297228538132131,112283.16502094893,-0.10714285714285714,15.885028778877933
51,28.0,58.07452500000001,111.4519,3.41802,-32.648935,4.192042e-05,99.81589740483753,11.636002595162466,66440.45242579155,-0.08928571428571427,6.252216578896782
52,29.0,58.224875,110.92625,3.40594,-32.607625,4.207811e-05,104.31080435894643,6.615445641053569,348854.8640152036,-0.07142857142857142,-4.393785116814018
53,30.0,58.3674,110.47805,3.4195300000000004,-32.33153,4.1939615e-05,111.78125609412015,-1.3032060941201564,559504.8077605224,-0.05357142857142857,-14.87889217366125
54,31.0,58.51418421052632,109.9765789473684,3.408178947368421,-32.292842105263155,4.173554210526316e-05,122.69039314815447,-12.713814200786075,225462.59931567157,-0.03571428571428571,-24.046764568712547
55,31.5,58.5445,110.96,3.4241,-32.4059,4.0626e-05,129.5864745893038,-18.62647458930381,1843.4911139705457,-0.017857142857142856,-27.81188759699026
